public_key,bitclout_amount,reward_transaction_count,is_genesis_account
BC1YLfqL4neTSBPiiURxTyajt1y1jhkqG4qUHqEuYDtZwDD2mPo3ff6,2888.7789568,1,true
BC1YLijH993WX8dC3DKera7Cmim1HrBGNNmgwnEMzzCFu6Wmhyj8AkC,2750.9093074,1,true
BC1YLjSd9yxRXnL6btC6WQuFSeySQZjSGhiiVRE8z7qwhVxzmEXAHyg,2707.9088708,1,true
BC1YLh5rFQqfjmANKdqwc6eCJk82BeHiwQSy8D18tLwgCPrV3N66GYT,2662.4472065,1,true
BC1YLh7FUoNzbSC8ZVLjj3TFqnZra3sAv6prp94iHAdk99KUBf4gGbW,2439.137822,1,true
BC1YLgL6LNGHnGK4kFmHCHMRy5ku3h7TMGnpyvrzREkqAoyUA3UsDw2,2430.1882275,1,true
BC1YLigKLfJaDh5j1dVyZFovHfoZVWoeSN8H1cmD5n5edejqhMvLLaF,2309.197866002,1740,false
BC1YLi8vvx9LLHsNyMewiQpb4itngBhfzaYuwPAS9H5hjQWkmpLorqf,2069,1,true
BC1YLifLD8vsygFuUkBUAuEieYMvqJgYgd7kq42iJERTDhi7hreUFaM,2000.00002,1,true
BC1YLhdXm11CNhaDgYo58xFszJLnAtWx8n5xecDZncT1d8Y9mX5zv51,1949.4170946,1,true
BC1YLiVng85x776Z8vPGY3JgCZyHhUHNyqFfVfaWG7TMi6hfte1xVHw,1906.8714012,1,true
BC1YLhfYdpJhKLxupZBvkJmjVyhFKjKfVZnZTLbEseRk6bLKTGc2X2B,1875,1,true
BC1YLiAkTUnHkTWRkMyiwbc4qeJagFaGuNodD6g6AQUi2FkZRLrwXMT,1859.2003573,1,true
BC1YLfhV4yvKDw7RinkNG4uFGbcCSanMFkpcPNTeJjCr9RmPwkQscoi,1748.5362668,1,true
BC1YLj5H1g99oa4W2rN5VBQmb3U1QEy18kN6HLBdFDmhyDKocWyeTjm,1726.9147111,1,true
BC1YLjXjAR8Sss56j5Cpef5tatvpCccPxWrAq617b3MdsL8zwyrRQaL,1692.3166799,1,true
BC1YLihQpm8LFwj19XuJNqKqCkcYBnPr3EhXsGHxHPgT4k7RHp3Wc2p,1677.8618407,1,true
BC1YLfmd9tPQVcgv1dz7NFWBUyioTq1odJgJ4bEHMTDVNCR5yGvnfBk,1662.2015253,1,true
BC1YLi6ZFqFTgkyrmQqSEZvcEViQaVFAvZy8pyvwrpgttT2pH46BPSu,1652,1,true
BC1YLitLDbGHKthUNd9LEXc1Di9SCgLwwmcH2yq4VjadD8yNxQhEC9D,1643.6070581,1,true
BC1YLg8jbwQ44B8UFCQXbgU9NxL9msZssciWr9ayYqjjNkaW7D27BSq,1593.8971799,1,true
BC1YLgUjYBayWvtA9gzRJ7rZo5DABNRXAb4pdABMJ3PwmPBrChYM56D,1563,1,true
BC1YLjQk41GTqVbsg5cYtbVEhK6gWqtB7MQnHzVB29rS6ytmVt7Lc5A,1563,1,true
BC1YLh38t1psuw5LkRoNH6LBNMFxBT3gfUZQd9icRYzUxmRLtU4RGXY,1563,1,true
BC1YLiYqSLmbMTwmjcDvwiLie9WTGYeBzeS3GbQ9aXqDheJL4nrzKJw,1547.2827612,1,true
BC1YLh6wrg8TtzYQk2kLYjgPdnV9TXTvDx1pkSnmKx5C42kgCUb8Jro,1507.3153221,1,true
BC1YLggwiqKLSFEj58fFoKzPEiCwkcjtoQ2Hex5JtkEGcxNX5eFJFqb,1506.841863354,1237,false
BC1YLhS3xZJ7RToJJc49dsmxBfABWkCax4r6eFbe5bSJJ63sH4p2yLN,1502.267241801,1111,false
BC1YLftgoAXCJk35CmAtYraybAwdiGiyojNmPSKT5gXH7QwY4UsTi8u,1464.7794,1,true
